id,name,year,budget,popularity,runtime,vote_average,poster_path
8973,Lord of Illusions,1995,0,4.102409,119,5.9,/9pwdoUes8V8ntTetsKtv2ThGeIm.jpg
15730,Love & Human Remains,1993,0,0.354014,100,7,/wuCyRk9eult77MXmRnE9gkSjUnt.jpg
47608,Mad Love,1995,0,2.624771,95,5.5,/yLq2bns665GyK5UcMXKUJmItm7F.jpg
2293,Mallrats,1995,6000000,8.25547,94,6.8,/4saVIltqkhq9is5NmD7N87Q40M.jpg
9070,Mighty Morphin Power Rangers: The Movie,1995,15000000,7.024227,92,5.2,/A3ijhraMN0tvpDnPoyVP7NulkSr.jpg
68274,Moonlight and Valentino,1995,0,1.01115,100,5.6,/wLwkTj5DRVNUnKSsNHdoka4QPLF.jpg
48787,Mute Witness,1995,2,2.466066,95,6.4,/1AJujK1IjuyxvIG8pjmef9qJsnQ.jpg
34574,Nadja,1994,0,7.720056,93,5.9,/bRz2J0jlMgczJptX0Atzo9l70Bd.jpg
1642,The Net,1995,22000000,13.304342,114,5.6,/gKDNaAFzT21cSVeKQop7d1uhoSp.jpg
11472,Nine Months,1995,0,8.482834,103,5.5,/aYavA2TOqpWVcxQZ31mMlYKqoFM.jpg
36196,Party Girl,1995,150000,1.165039,94,5.8,/iYM0EdHrcbu8rhkDKVBkDcZEo8t.jpg
11980,The Prophecy,1995,8,10.187623,98,6.4,/A3aYGp8LLxuFdzG2ETnhfbWPk7h.jpg
58372,Reckless,1995,0,0.119713,91,10,/mIEtFo5z8G6b0r2mxHjfIWT7vy7.jpg
32646,Safe,1995,0,8.180047,119,7.2,/ihX2udk636JMAAaWDIMj6n5ejhb.jpg
10533,The Scarlet Letter,1995,50000000,6.752119,135,5.5,/g46rChf49Qgq28RJ22iWwvsK7nO.jpg
56088,The Show,1995,0,0.159596,93,5.3,/qUlVaRYuiMvr1R3ZBW6hpS9QB4h.jpg
10802,Showgirls,1995,45000000,17.502375,128,4.9,/7O2SxrsXYaGFZ5cZgJF0Ab5SV5J.jpg
10149,Smoke,1995,7000000,5.552946,112,7.2,/dku3aLprH3j1ilSsubW9Pbgfe0y.jpg
18402,Something to Talk About,1995,0,3.743212,106,5.7,/p9qioRaQblGXemFRQSwo8TpikVJ.jpg
9348,Species,1995,35000000,13.492845,108,5.5,/94P6kzKH8aPmQmPr9yZjgy7BtQQ.jpg
139408,The Stars Fell on Henrietta,1995,0,0.913522,109,6.6,/5mkH38tcztyLy6CeAWHD1FC8ozC.jpg
281,Strange Days,1995,42000000,11.223055,145,6.8,/rXvy5hG9OeVmgnv9w4IhQxhqEKD.jpg
5967,The Umbrellas of Cherbourg,1964,0,8.133881,91,7.6,/ju5W8qvWfjXXGaR7wd9wSyuYXhS.jpg
79593,The Tie That Binds,1995,14000000,1.820419,99,4.6,/uCPwXcYZ8G5Xi5h8zonBco980Dk.jpg
47939,Three Wishes,1995,0,11.002046,115,6.1,/ub79b63JJV4oeHwomSy5OS5fVsr.jpg
36834,Total Eclipse,1995,0,4.546552,111,6.5,/BTGFfPHySJtw2qBoLysz3ercDB.jpg
9090,To Wong Foo, Thanks for Everything! Julie Newmar,1995,0,7.653446,105,6.3,/xIDEoG9FQGmMCh5XsbkvSuD8WrW.jpg
3512,Under Siege 2: Dark Territory,1995,60000000,7.490247,100,5.6,/6Z1p71nkm45cYuIZWOx5JSCYc0o.jpg
52856,Unstrung Heroes,1995,0,2.881689,93,6.4,/puMRjRJYE5TX1ffwuqoLXW9iLqq.jpg
77350,Unzipped,1995,0,0.786023,73,6,/5fY5iN8mUBLdd4fmcXwdTqAZ9Sx.jpg
9560,A Walk in the Clouds,1995,20000000,9.715639,103,6.5,/iZ4FNVYVUx6NS7HXMiNJTGgSo7H.jpg
9804,Waterworld,1995,175000000,16.885184,135,5.9,/yordVJcPLh3VNRL7bXzFIBEhXRr.jpg
31611,White Man's Burden,1995,8000000,1.834099,89,5.1,/aaFpmILNyNSReVgzKGFu8iKNYzi.jpg
65796,Wild Bill,1995,30000000,8.922139,98,5.9,/qIgslXL0NDtSlcHxISACLwWbkRJ.jpg
49805,The Browning Version,1994,0,3.727644,97,6,/xjWc2uWrcGLwC87JN2CbxseGKQ.jpg
26258,Bushwhacked,1995,0,3.287036,90,4.9,/A4UQ0y2kj4ZXrBP0MXYazd69xp2.jpg
50797,Burnt by the Sun,1994,2800000,2.486073,135,6.7,/e7bE9BiLyKaZtNF3Q2ro8gVCEQA.jpg
19155,Before the Rain,1994,0,3.525649,113,7.7,/aIll5MvOZmUCmiwuGWMlaHRj2gj.jpg
76,Before Sunrise,1995,2500000,11.304979,105,7.7,/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg
11017,Billy Madison,1995,10000000,6.638116,89,6.2,/5mP8F0NYSVrwrlWRCSD4uywMNnX.jpg
37141,The Babysitter,1995,0,2.761837,90,4.7,/hUfKMTLCIK7OwLYX58TfY8APwRm.jpg
9382,Boys on the Side,1995,21000000,3.030309,115,6.3,/dcgbt8FkRLvQjaheVlylPSQeTKC.jpg
6715,The Cure,1995,0,2.686342,97,7.2,/keUrRrUsmALR7kOTSdrOIDcO67z.jpg
18256,Castle Freak,1995,0,2.26977,95,5.8,/eeO3BIHJoI3sabtkqfYOStdbOwm.jpg
22625,Circle of Friends,1995,0,2.605521,103,6.5,/6T3hCdOWU49Y0hmuzceARU5yS5x.jpg
2292,Clerks,1994,27000,10.513367,92,7.4,/dmNytzvQTjylI83qrgDoS1KQ0ev.jpg
1909,Don Juan DeMarco,1994,25000000,7.438934,97,6.3,/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg
8984,Disclosure,1994,55000000,11.812244,123,5.9,/qbwcjmHnXkeE8l7wNBsdnlrp3J4.jpg
61813,Dream Man,1995,0,0.155859,0,2.5,/7JbvfOA2hnWkSIJslAayK0AemDU.jpg
4954,Drop Zone,1994,45000000,9.579155,101,5.1,/pVgdUHeIVEILyRISE4ysA8I6a8T.jpg
62488,Destiny Turns on the Radio,1995,0,0.710671,0,5.3,/9iczUcmMLnOZ4Ltx3X3AEpbxTt4.jpg
10531,Death and the Maiden,1994,0,5.484156,103,7.1,/3p1K153ZbRV7FNyi4DNnzHfxJZa.jpg
11929,Dolores Claiborne,1995,0,5.8025,132,7.1,/ewmVWV0TP8LTlYZ4OzCcguwC9d1.jpg
8467,Dumb and Dumber,1994,16000000,9.844558,107,6.5,/3PEAkZHa8ehfUkuKbzmQNRTTAAs.jpg
10451,Eat Drink Man Woman,1994,0,4.860016,123,7.5,/jGjSu9zlR2I8t6OE54uxSJ7M25p.jpg
20156,Exotica,1994,0,5.378467,103,6.5,/oIwrh7QhwUNxejsvgKtFG4V0gaQ.jpg
18395,Exit to Eden,1994,0,4.322726,113,4.3,/9oIEKFVPhgVEzbcbRPDXCdkUgRN.jpg
522,Ed Wood,1994,18000000,11.720358,127,7.3,/9qBe2sUDyY2dFH1iHq0SZb1G4QG.jpg
